id_observation,id_releve,code_perso,date_releve_deb,code_gps,x_l93,y_l93,lon_wgs84,lat_wgs84,lieudit,alti_calc,rec_total_pl,rec_arbu_pl,rec_sarb_pl,rec_herba_pl,rec_crypto_pl,substr_roch_pl,substr_bloc_pl,substr_cail_pl,substr_terr_pl,substr_grav_pl,substr_sabl_pl,substr_liti_pl,nom_cite,cd_nom,nom_complet,cd_ref,nom_reconnu_ss_auteur,nom_reconnu,famille,comm_taxon,meta_comm
34878402,10966784,Band : 2008-2018,7/9/2019,P87,1001044.02,6540213.31,6.8839667,45.89495,Glacier des Pélerins,2334,<5% (2%),,,,,,50-75% (70%),25-50% (25%),,<5% (2%),<5% (1%),,"Poa alpina L., 1753",114105,"Poa alpina L., 1753",114105,Poa alpina,"Poa alpina L., 1753",Poaceae,+;8;NA;NA;NA;NA;1,ROCVEG : P-87 ; Band : 2008-2018 ; Plant cover :  1% ; BSC : 1% ; Moss : 1% ; Cyanobact : 0% ; Lichen : 0% ; Depth BSC : 1
34878404,10966784,Band : 2008-2018,7/9/2019,P87,1001044.02,6540213.31,6.8839667,45.89495,Glacier des Pélerins,2334,<5% (2%),,,,,,50-75% (70%),25-50% (25%),,<5% (2%),<5% (1%),,"Salix hastata L., 1753",120052,"Salix hastata L., 1753",120052,Salix hastata,"Salix hastata L., 1753",Salicaceae,+;6;NA;NA;NA;NA;0,ROCVEG : P-87 ; Band : 2008-2018 ; Plant cover :  1% ; BSC : 1% ; Moss : 1% ; Cyanobact : 0% ; Lichen : 0% ; Depth BSC : 1
34878406,10966784,Band : 2008-2018,7/9/2019,P87,1001044.02,6540213.31,6.8839667,45.89495,Glacier des Pélerins,2334,<5% (2%),,,,,,50-75% (70%),25-50% (25%),,<5% (2%),<5% (1%),,"Luzula alpinopilosa (Chaix) Breistr., 1947",106813,"Luzula alpinopilosa (Chaix) Breistr., 1947",106813,Luzula alpinopilosa,"Luzula alpinopilosa (Chaix) Breistr., 1947",Juncaceae,+;15;NA;NA;NA;NA;1,ROCVEG : P-87 ; Band : 2008-2018 ; Plant cover :  1% ; BSC : 1% ; Moss : 1% ; Cyanobact : 0% ; Lichen : 0% ; Depth BSC : 1
34878408,10966784,Band : 2008-2018,7/9/2019,P87,1001044.02,6540213.31,6.8839667,45.89495,Glacier des Pélerins,2334,<5% (2%),,,,,,50-75% (70%),25-50% (25%),,<5% (2%),<5% (1%),,"Epilobium dodonaei subsp. fleischeri (Hochst.) Schinz & Thell., 1923",134114,"Epilobium dodonaei subsp. fleischeri (Hochst.) Schinz & Thell., 1923",134114,Epilobium dodonaei subsp. fleischeri,"Epilobium dodonaei subsp. fleischeri (Hochst.) Schinz & Thell., 1923",Onagraceae,+;6;NA;NA;NA;NA;0,ROCVEG : P-87 ; Band : 2008-2018 ; Plant cover :  1% ; BSC : 1% ; Moss : 1% ; Cyanobact : 0% ; Lichen : 0% ; Depth BSC : 1
34878410,10966784,Band : 2008-2018,7/9/2019,P87,1001044.02,6540213.31,6.8839667,45.89495,Glacier des Pélerins,2334,<5% (2%),,,,,,50-75% (70%),25-50% (25%),,<5% (2%),<5% (1%),,"Avenella flexuosa (L.) Drejer, 1838",85418,"Avenella flexuosa (L.) Drejer, 1838",85418,Avenella flexuosa,"Avenella flexuosa (L.) Drejer, 1838",Poaceae,+;3;NA;NA;NA;NA;0,ROCVEG : P-87 ; Band : 2008-2018 ; Plant cover :  1% ; BSC : 1% ; Moss : 1% ; Cyanobact : 0% ; Lichen : 0% ; Depth BSC : 1
34878411,10966784,Band : 2008-2018,7/9/2019,P87,1001044.02,6540213.31,6.8839667,45.89495,Glacier des Pélerins,2334,<5% (2%),,,,,,50-75% (70%),25-50% (25%),,<5% (2%),<5% (1%),,"Sedum alpestre Vill., 1779",122107,"Sedum alpestre Vill., 1779",122107,Sedum alpestre,"Sedum alpestre Vill., 1779",Crassulaceae,+;3;NA;NA;NA;NA;0,ROCVEG : P-87 ; Band : 2008-2018 ; Plant cover :  1% ; BSC : 1% ; Moss : 1% ; Cyanobact : 0% ; Lichen : 0% ; Depth BSC : 1
34878413,10966784,Band : 2008-2018,7/9/2019,P87,1001044.02,6540213.31,6.8839667,45.89495,Glacier des Pélerins,2334,<5% (2%),,,,,,50-75% (70%),25-50% (25%),,<5% (2%),<5% (1%),,"Cerastium pedunculatum Gaudin, 1828",90071,"Cerastium pedunculatum Gaudin, 1828",90071,Cerastium pedunculatum,"Cerastium pedunculatum Gaudin, 1828",Caryophyllaceae,+;2;NA;NA;NA;NA;0,ROCVEG : P-87 ; Band : 2008-2018 ; Plant cover :  1% ; BSC : 1% ; Moss : 1% ; Cyanobact : 0% ; Lichen : 0% ; Depth BSC : 1
36747613,10966786,Band : 2008-2018,7/9/2019,P98,1001090.09,6540460.19,6.8847167,45.89715,Glacier des Pélerins,2304,<5% (2%),,,,,,50-75% (55%),25-50% (25%),,25-50% (25%),<5% (3%),,"Oxyria digyna (L.) Hill, 1768",111960,"Oxyria digyna (L.) Hill, 1768",111960,Oxyria digyna,"Oxyria digyna (L.) Hill, 1768",Polygonaceae,,ROCVEG : P-98 ; Band : 2008-2018 ; Plant cover :  1% ; BSC : 1% ; Moss : 1% ; Cyanobact : 1% ; Lichen : 0% ; Depth BSC : 0.5
34878425,10966786,Band : 2008-2018,7/9/2019,P98,1001090.09,6540460.19,6.8847167,45.89715,Glacier des Pélerins,2304,<5% (2%),,,,,,50-75% (55%),25-50% (25%),,25-50% (25%),<5% (3%),,"Betula pubescens Ehrh., 1791",85904,"Betula pubescens Ehrh., 1791",85904,Betula pubescens,"Betula pubescens Ehrh., 1791",Betulaceae,+;1;NA;NA;NA;NA;0,ROCVEG : P-98 ; Band : 2008-2018 ; Plant cover :  1% ; BSC : 1% ; Moss : 1% ; Cyanobact : 1% ; Lichen : 0% ; Depth BSC : 0.5
34878428,10966786,Band : 2008-2018,7/9/2019,P98,1001090.09,6540460.19,6.8847167,45.89715,Glacier des Pélerins,2304,<5% (2%),,,,,,50-75% (55%),25-50% (25%),,25-50% (25%),<5% (3%),,"Saxifraga bryoides L., 1753",120988,"Saxifraga bryoides L., 1753",120988,Saxifraga bryoides,"Saxifraga bryoides L., 1753",Saxifragaceae,+;2;NA;NA;NA;NA;0,ROCVEG : P-98 ; Band : 2008-2018 ; Plant cover :  1% ; BSC : 1% ; Moss : 1% ; Cyanobact : 1% ; Lichen : 0% ; Depth BSC : 0.5
34878431,10966786,Band : 2008-2018,7/9/2019,P98,1001090.09,6540460.19,6.8847167,45.89715,Glacier des Pélerins,2304,<5% (2%),,,,,,50-75% (55%),25-50% (25%),,25-50% (25%),<5% (3%),,"Cerastium pedunculatum Gaudin, 1828",90071,"Cerastium pedunculatum Gaudin, 1828",90071,Cerastium pedunculatum,"Cerastium pedunculatum Gaudin, 1828",Caryophyllaceae,+;2;NA;NA;NA;NA;0,ROCVEG : P-98 ; Band : 2008-2018 ; Plant cover :  1% ; BSC : 1% ; Moss : 1% ; Cyanobact : 1% ; Lichen : 0% ; Depth BSC : 0.5
24800317,8660602,Band : A,8/7/2020,TA-21,1007148.48,6551641.49,6.97,45.995,Glacier du Tour,2221,10-25% (15%),,,,>75% (100%),50-75% (70%),10-25% (23%),25-50% (40%),,25-50% (40%),,,"Sagina saginoides (L.) H.Karst., 1882",119827,"Sagina saginoides (L.) H.Karst., 1882",119827,Sagina saginoides,"Sagina saginoides (L.) H.Karst., 1882",Caryophyllaceae,Cover : + ; Height : 2 ; Reprod : 1 ,Time : 10:35 ; Soil crust : 15% ; Slab : 6%
24800322,8660602,Band : A,8/7/2020,TA-21,1007148.48,6551641.49,6.97,45.995,Glacier du Tour,2221,10-25% (15%),,,,>75% (100%),50-75% (70%),10-25% (23%),25-50% (40%),,25-50% (40%),,,"Athyrium distentifolium Tausch ex Opiz, 1820",84998,"Athyrium distentifolium Tausch ex Opiz, 1820",84998,Athyrium distentifolium,"Athyrium distentifolium Tausch ex Opiz, 1820",Athyriaceae,Cover : + ; Height : 5 ; Reprod : 0 ; Nurse : 1 ,Time : 10:35 ; Soil crust : 15% ; Slab : 6%
24800300,8660602,Band : A,8/7/2020,TA-21,1007148.48,6551641.49,6.97,45.995,Glacier du Tour,2221,10-25% (15%),,,,>75% (100%),50-75% (70%),10-25% (23%),25-50% (40%),,25-50% (40%),,,"Luzula alpinopilosa (Chaix) Breistr., 1947",106813,"Luzula alpinopilosa (Chaix) Breistr., 1947",106813,Luzula alpinopilosa,"Luzula alpinopilosa (Chaix) Breistr., 1947",Juncaceae,Cover : 10% ; Height : 20 ; Reprod : 1 ,Time : 10:35 ; Soil crust : 15% ; Slab : 6%
24800309,8660602,Band : A,8/7/2020,TA-21,1007148.48,6551641.49,6.97,45.995,Glacier du Tour,2221,10-25% (15%),,,,>75% (100%),50-75% (70%),10-25% (23%),25-50% (40%),,25-50% (40%),,,"Cystopteris fragilis (L.) Bernh., 1805",94066,"Cystopteris fragilis (L.) Bernh., 1805",94066,Cystopteris fragilis,"Cystopteris fragilis (L.) Bernh., 1805",Cystopteridaceae,Cover : + ; Height : 2 ; Reprod : 0 : Nurse : 1,Time : 10:35 ; Soil crust : 15% ; Slab : 6%
24800314,8660602,Band : A,8/7/2020,TA-21,1007148.48,6551641.49,6.97,45.995,Glacier du Tour,2221,10-25% (15%),,,,>75% (100%),50-75% (70%),10-25% (23%),25-50% (40%),,25-50% (40%),,,"Cardamine resedifolia L., 1753",87970,"Cardamine resedifolia L., 1753",87970,Cardamine resedifolia,"Cardamine resedifolia L., 1753",Brassicaceae,Cover : + ; Height : 3 ; Reprod : 1 ,Time : 10:35 ; Soil crust : 15% ; Slab : 6%
24800316,8660602,Band : A,8/7/2020,TA-21,1007148.48,6551641.49,6.97,45.995,Glacier du Tour,2221,10-25% (15%),,,,>75% (100%),50-75% (70%),10-25% (23%),25-50% (40%),,25-50% (40%),,,"Poa cenisia All., 1789",114151,"Poa cenisia All., 1789",114151,Poa cenisia,"Poa cenisia All., 1789",Poaceae,Cover : 1% ; Height : 10 ; Reprod : 1 ,Time : 10:35 ; Soil crust : 15% ; Slab : 6%
24800315,8660602,Band : A,8/7/2020,TA-21,1007148.48,6551641.49,6.97,45.995,Glacier du Tour,2221,10-25% (15%),,,,>75% (100%),50-75% (70%),10-25% (23%),25-50% (40%),,25-50% (40%),,,"Salix myrsinifolia Salisb., 1796",120135,"Salix myrsinifolia Salisb., 1796",120135,Salix myrsinifolia,"Salix myrsinifolia Salisb., 1796",Salicaceae,Cover : 1% ; Height : 6 ; Reprod : 1 ,Time : 10:35 ; Soil crust : 15% ; Slab : 6%
24800324,8660602,Band : A,8/7/2020,TA-21,1007148.48,6551641.49,6.97,45.995,Glacier du Tour,2221,10-25% (15%),,,,>75% (100%),50-75% (70%),10-25% (23%),25-50% (40%),,25-50% (40%),,,"Salix laggeri Wimm., 1854",120085,"Salix laggeri Wimm., 1854",120085,Salix laggeri,"Salix laggeri Wimm., 1854",Salicaceae,Cover : + ; Height : 12 ; Reprod : 0 ,Time : 10:35 ; Soil crust : 15% ; Slab : 6%
24800326,8660602,Band : A,8/7/2020,TA-21,1007148.48,6551641.49,6.97,45.995,Glacier du Tour,2221,10-25% (15%),,,,>75% (100%),50-75% (70%),10-25% (23%),25-50% (40%),,25-50% (40%),,,"Adenostyles leucophylla (Willd.) Rchb., 1831",80190,"Adenostyles leucophylla (Willd.) Rchb., 1831",80190,Adenostyles leucophylla,"Adenostyles leucophylla (Willd.) Rchb., 1831",Asteraceae,Cover : + ; Height : 4 ; Reprod : 0 ,Time : 10:35 ; Soil crust : 15% ; Slab : 6%
24800318,8660602,Band : A,8/7/2020,TA-21,1007148.48,6551641.49,6.97,45.995,Glacier du Tour,2221,10-25% (15%),,,,>75% (100%),50-75% (70%),10-25% (23%),25-50% (40%),,25-50% (40%),,,"Agrostis schraderiana Bech., 1938",80741,"Agrostis schraderiana Bech., 1938",80741,Agrostis schraderiana,"Agrostis schraderiana Bech., 1938",Poaceae,Cover : + ; Height : 15 ; Reprod : 1 ,Time : 10:35 ; Soil crust : 15% ; Slab : 6%
24800319,8660602,Band : A,8/7/2020,TA-21,1007148.48,6551641.49,6.97,45.995,Glacier du Tour,2221,10-25% (15%),,,,>75% (100%),50-75% (70%),10-25% (23%),25-50% (40%),,25-50% (40%),,,"Oxyria digyna (L.) Hill, 1768",111960,"Oxyria digyna (L.) Hill, 1768",111960,Oxyria digyna,"Oxyria digyna (L.) Hill, 1768",Polygonaceae,Cover : + ; Height : 2 ; Reprod : 0 ,Time : 10:35 ; Soil crust : 15% ; Slab : 6%
24800313,8660602,Band : A,8/7/2020,TA-21,1007148.48,6551641.49,6.97,45.995,Glacier du Tour,2221,10-25% (15%),,,,>75% (100%),50-75% (70%),10-25% (23%),25-50% (40%),,25-50% (40%),,,"Micranthes stellaris (L.) Galasso, Banfi & Soldano, 2005",717310,"Micranthes stellaris (L.) Galasso, Banfi & Soldano, 2005",717310,Micranthes stellaris,"Micranthes stellaris (L.) Galasso, Banfi & Soldano, 2005",Saxifragaceae,Cover : + ; Height : 2 ; Reprod : 1 ,Time : 10:35 ; Soil crust : 15% ; Slab : 6%
24800321,8660602,Band : A,8/7/2020,TA-21,1007148.48,6551641.49,6.97,45.995,Glacier du Tour,2221,10-25% (15%),,,,>75% (100%),50-75% (70%),10-25% (23%),25-50% (40%),,25-50% (40%),,,"Epilobium anagallidifolium Lam., 1786",96134,"Epilobium anagallidifolium Lam., 1786",96134,Epilobium anagallidifolium,"Epilobium anagallidifolium Lam., 1786",Onagraceae,Cover : + ; Height : 4 ; Reprod : 0 ,Time : 10:35 ; Soil crust : 15% ; Slab : 6%
24800301,8660602,Band : A,8/7/2020,TA-21,1007148.48,6551641.49,6.97,45.995,Glacier du Tour,2221,10-25% (15%),,,,>75% (100%),50-75% (70%),10-25% (23%),25-50% (40%),,25-50% (40%),,,"Agrostis rupestris All., 1785",80729,"Agrostis rupestris All., 1785",613160,Agrostis rupestris var. rupestris,"Agrostis rupestris var. rupestris All., 1785",Poaceae,Cover : + ; Height : 5 ; Reprod : 1 ; Nurse : 1,Time : 10:35 ; Soil crust : 15% ; Slab : 6%
24800303,8660602,Band : A,8/7/2020,TA-21,1007148.48,6551641.49,6.97,45.995,Glacier du Tour,2221,10-25% (15%),,,,>75% (100%),50-75% (70%),10-25% (23%),25-50% (40%),,25-50% (40%),,,"Leucanthemopsis alpina (L.) Heywood, 1975",105765,"Leucanthemopsis alpina (L.) Heywood, 1975",159722,Leucanthemopsis alpina subsp. alpina,"Leucanthemopsis alpina subsp. alpina (L.) Heywood, 1975",Asteraceae,Cover : + ; Height : 2 ; Reprod : 1 ,Time : 10:35 ; Soil crust : 15% ; Slab : 6%
24800307,8660602,Band : A,8/7/2020,TA-21,1007148.48,6551641.49,6.97,45.995,Glacier du Tour,2221,10-25% (15%),,,,>75% (100%),50-75% (70%),10-25% (23%),25-50% (40%),,25-50% (40%),,,"Euphrasia minima Jacq. ex DC., 1805",97772,"Euphrasia minima Jacq. ex DC., 1805",97772,Euphrasia minima,"Euphrasia minima Jacq. ex DC., 1805",Orobanchaceae,Cover : + ; Height : 3 ; Reprod : 1 ,Time : 10:35 ; Soil crust : 15% ; Slab : 6%
24800323,8660602,Band : A,8/7/2020,TA-21,1007148.48,6551641.49,6.97,45.995,Glacier du Tour,2221,10-25% (15%),,,,>75% (100%),50-75% (70%),10-25% (23%),25-50% (40%),,25-50% (40%),,,"Campanula cochleariifolia Lam., 1785",87622,"Campanula cochleariifolia Lam., 1785",87622,Campanula cochleariifolia,"Campanula cochleariifolia Lam., 1785",Campanulaceae,Cover : + ; Height : 4 ; Reprod : 1 ,Time : 10:35 ; Soil crust : 15% ; Slab : 6%
24800310,8660602,Band : A,8/7/2020,TA-21,1007148.48,6551641.49,6.97,45.995,Glacier du Tour,2221,10-25% (15%),,,,>75% (100%),50-75% (70%),10-25% (23%),25-50% (40%),,25-50% (40%),,,"Cerastium pedunculatum Gaudin, 1828",90071,"Cerastium pedunculatum Gaudin, 1828",90071,Cerastium pedunculatum,"Cerastium pedunculatum Gaudin, 1828",Caryophyllaceae,Cover : + ; Height : 4 ; Reprod : 1 ,Time : 10:35 ; Soil crust : 15% ; Slab : 6%
24800305,8660602,Band : A,8/7/2020,TA-21,1007148.48,6551641.49,6.97,45.995,Glacier du Tour,2221,10-25% (15%),,,,>75% (100%),50-75% (70%),10-25% (23%),25-50% (40%),,25-50% (40%),,,"Imperatoria ostruthium L., 1753",103578,"Imperatoria ostruthium L., 1753",103578,Imperatoria ostruthium,"Imperatoria ostruthium L., 1753",Apiaceae,Cover : + ; Height : 6 ; Reprod : 0 ,Time : 10:35 ; Soil crust : 15% ; Slab : 6%
24800312,8660602,Band : A,8/7/2020,TA-21,1007148.48,6551641.49,6.97,45.995,Glacier du Tour,2221,10-25% (15%),,,,>75% (100%),50-75% (70%),10-25% (23%),25-50% (40%),,25-50% (40%),,,"Veronica alpina L., 1753",128789,"Veronica alpina L., 1753",128789,Veronica alpina,"Veronica alpina L., 1753",Plantaginaceae,Cover : + ; Height : 8 ; Reprod : 1 ,Time : 10:35 ; Soil crust : 15% ; Slab : 6%
24800304,8660602,Band : A,8/7/2020,TA-21,1007148.48,6551641.49,6.97,45.995,Glacier du Tour,2221,10-25% (15%),,,,>75% (100%),50-75% (70%),10-25% (23%),25-50% (40%),,25-50% (40%),,,"Rumex scutatus L., 1753",119587,"Rumex scutatus L., 1753",119587,Rumex scutatus,"Rumex scutatus L., 1753",Polygonaceae,Cover : 1% ; Height : 5 ; Reprod : 1 ,Time : 10:35 ; Soil crust : 15% ; Slab : 6%
24800358,8660611,Band : A,8/7/2020,TA-10,1007167.08,6551764.74,6.97032,45.9961,Glacier du Tour,2225,10-25% (16%),,,,>75% (100%),>75% (77%),<5% (3%),<5% (4%),,<5% (4%),,,"Arctostaphylos uva-ursi (L.) Spreng., 1825",83528,"Arctostaphylos uva-ursi (L.) Spreng., 1825",83528,Arctostaphylos uva-ursi,"Arctostaphylos uva-ursi (L.) Spreng., 1825",Ericaceae,Cover : 5 ; Height : 6 ; Reprod : 0 ,Time : 12:00 ; Soil crust : 7% ; Slab : 60%
24800356,8660611,Band : A,8/7/2020,TA-10,1007167.08,6551764.74,6.97032,45.9961,Glacier du Tour,2225,10-25% (16%),,,,>75% (100%),>75% (77%),<5% (3%),<5% (4%),,<5% (4%),,,"Salix myrsinifolia Salisb., 1796",120135,"Salix myrsinifolia Salisb., 1796",120135,Salix myrsinifolia,"Salix myrsinifolia Salisb., 1796",Salicaceae,Cover : 1 ; Height : 30 ; Reprod : 0 ,Time : 12:00 ; Soil crust : 7% ; Slab : 60%
24800348,8660611,Band : A,8/7/2020,TA-10,1007167.08,6551764.74,6.97032,45.9961,Glacier du Tour,2225,10-25% (16%),,,,>75% (100%),>75% (77%),<5% (3%),<5% (4%),,<5% (4%),,,"Leucanthemopsis alpina (L.) Heywood, 1975",105765,"Leucanthemopsis alpina (L.) Heywood, 1975",159722,Leucanthemopsis alpina subsp. alpina,"Leucanthemopsis alpina subsp. alpina (L.) Heywood, 1975",Asteraceae,Cover : + ; Height : 3 ; Reprod : 0 ,Time : 12:00 ; Soil crust : 7% ; Slab : 60%
24800349,8660611,Band : A,8/7/2020,TA-10,1007167.08,6551764.74,6.97032,45.9961,Glacier du Tour,2225,10-25% (16%),,,,>75% (100%),>75% (77%),<5% (3%),<5% (4%),,<5% (4%),,,"Poa cenisia All., 1789",114151,"Poa cenisia All., 1789",114151,Poa cenisia,"Poa cenisia All., 1789",Poaceae,Cover : + ; Height : 10 ; Reprod : 1 ,Time : 12:00 ; Soil crust : 7% ; Slab : 60%
24800350,8660611,Band : A,8/7/2020,TA-10,1007167.08,6551764.74,6.97032,45.9961,Glacier du Tour,2225,10-25% (16%),,,,>75% (100%),>75% (77%),<5% (3%),<5% (4%),,<5% (4%),,,"Agrostis rupestris All., 1785",80729,"Agrostis rupestris All., 1785",613160,Agrostis rupestris var. rupestris,"Agrostis rupestris var. rupestris All., 1785",Poaceae,Cover : 1 ; Height : 5 ; Reprod : 1 ,Time : 12:00 ; Soil crust : 7% ; Slab : 60%
24800351,8660611,Band : A,8/7/2020,TA-10,1007167.08,6551764.74,6.97032,45.9961,Glacier du Tour,2225,10-25% (16%),,,,>75% (100%),>75% (77%),<5% (3%),<5% (4%),,<5% (4%),,,"Euphrasia minima Jacq. ex DC., 1805",97772,"Euphrasia minima Jacq. ex DC., 1805",97772,Euphrasia minima,"Euphrasia minima Jacq. ex DC., 1805",Orobanchaceae,Cover : + ; Height : 3 ; Reprod : 1 ,Time : 12:00 ; Soil crust : 7% ; Slab : 60%
24800352,8660611,Band : A,8/7/2020,TA-10,1007167.08,6551764.74,6.97032,45.9961,Glacier du Tour,2225,10-25% (16%),,,,>75% (100%),>75% (77%),<5% (3%),<5% (4%),,<5% (4%),,,"Saxifraga bryoides L., 1753",120988,"Saxifraga bryoides L., 1753",120988,Saxifraga bryoides,"Saxifraga bryoides L., 1753",Saxifragaceae,Cover : + ; Height : 2 ; Reprod : 1 ,Time : 12:00 ; Soil crust : 7% ; Slab : 60%
