"","...1","Plot","age","id_observation","id_releve","code_perso","date_releve_deb","x_l93","y_l93","lon_wgs84","lat_wgs84","lieudit","alti_calc","rec_total_pl","rec_arbu_pl","rec_sarb_pl","rec_herba_pl","rec_crypto_pl","substr_roch_pl","substr_bloc_pl","substr_cail_pl","substr_terr_pl","substr_grav_pl","substr_sabl_pl","substr_liti_pl","nom_cite","cd_nom","nom_complet","cd_ref","nom_reconnu_ss_auteur","nom_reconnu","famille","recouvrement_sp","hauteur_veg","facilitation","BSC","compet","nurse","reprod","comment","meta_comm","Site","ageChronoG","ageChronoG2","Vielle_repro"
"16",3,"P01",169,33521645,10400805,"Band : LIA","7/8/2019",1000689.4,6540557.22,6.8796167,45.8982,"Glacier des P<e9>lerins",2118,">75% (80%)",NA,NA,NA,NA,"10-25% (15%)","5-10% (7%)","5-10% (7%)",NA,"<5% (1%)",NA,NA,"Luzula alpinopilosa (Chaix) Breistr., 1947",106813,"Luzula alpinopilosa (Chaix) Breistr., 1947",106813,"Luzula alpinopilosa","Luzula alpinopilosa (Chaix) Breistr., 1947","Juncaceae","0.1","20",NA,NA,NA,NA,NA,NA,"ROCVEG : P01 ; Band : LIA ; Time : NA ; Soil crust : 5% ; Moss : 3% ; Cyanobact : NA ; Lichen : 2% ; BSC : 1cm ; Photo number : NA","Pelerins","LIA - Control","LIA - Control",NA
"17",3,"S1-01",13,24793224,8659402,"Band : 1","7/21/2020",948722.89,6457400.15,6.16692,45.17101,"Glacier de Saint-Sorlin",2707,"<5% (2%)",NA,NA,NA,NA,">75% (98%)","10-25% (19%)","50-75% (50%)",NA,"25-50% (29%)","10-25% (10%)",NA,"Epilobium angustifolium L., 1753",96136,"Epilobium angustifolium L., 1753",96136,"Epilobium angustifolium","Epilobium angustifolium L., 1753","Onagraceae","+","12",NA,NA,NA,NA,"0",NA,"ROCVEG : S1-01 ; Band : 1 ; Time : 14:18 ; Soil crust : + ; Moss : + ; Cyanobact : NA ; Lichen : NA ; BSC : NA ; Photo number : NA","Saint Sorlin","12-19 years","7-13 years",NA
"18",3,"T03",174,33524145,10401733,"Band : LIA","7/11/2019",1005752.63,6552175.17,6.9523333,46.00043,"Glacier du Tour",1502,">75% (90%)",NA,NA,NA,NA,"10-25% (10%)","10-25% (10%)",NA,NA,NA,NA,NA,"Sorbus aucuparia L., 1753",124308,"Sorbus aucuparia L., 1753",141317,"Sorbus aucuparia subsp. aucuparia","Sorbus aucuparia subsp. aucuparia L., 1753","Rosaceae","0.1","30",NA,NA,NA,NA,NA,NA,"ROCVEG : T03 ; Band : LIA ; Time : NA ; Soil crust : 0% ; Moss : 0% ; Cyanobact : 0% ; Lichen : 0% ; BSC : NA ; Photo number : NA","Tour","LIA - Control","LIA - Control",NA
"19",4,"B1_04",6.5,34900908,10971337,"Band : B1","7/19/2019",968555.39,6432149.38,6.405282492,44.93642267,"Glacier Blanc",2527,NA,"<5% (0%)","<5% (0%)","25-50% (31%)","<5% (0%)",NA,"25-50% (25%)","10-25% (20%)",NA,"10-25% (14%)","5-10% (3%)","<5% (0%)","Cerastium arvense subsp. strictum",133087,"Cerastium arvense subsp. strictum Gaudin, 1828",133087,"Cerastium arvense subsp. strictum","Cerastium arvense subsp. strictum Gaudin, 1828","Caryophyllaceae","1",NA,NA,NA,NA,NA,NA,NA,"Mousses BSC : 0 ; Lichens BSC : 0 ; Eau : 0 ; Dalle : 7 ; Blocs : 25 ; Cailloux : 20 ; Graviers : 14 ; Sable : 3 ; Liti<e8>re : 0 ; Mousses humides : 0 ; Herbac<e9>es : 31 ; Ligneux tr<e8>s bas : 0 ; Ligneux bas : 0 ; D<e9>glaciation : 2012 ; Age : 7","Glacier Blanc","0-7 yrs","0-7 yrs",NA
"20",4,"GB-01",58.5,24802828,8661042,"Band : B","8/10/2020",983706.88,6474710.88,6.62188,45.3132,"Glacier de G<e9>broulaz",2585,"50-75% (60%)",NA,NA,NA,NA,"25-50% (38%)","25-50% (27%)","10-25% (10%)",NA,"<5% (1%)","<5% (0%)",NA,"Geum reptans L., 1753",100214,"Geum reptans L., 1753",100214,"Geum reptans","Geum reptans L., 1753","Rosaceae","1","5",NA,NA,NA,NA,"1",NA,"ROCVEG : GB-01 ; Band : B ; Time : 11:43 ; Soil crust : 2 ; Moss : 50 ; Cyanobact : 50 ; Lichen : 0 ; BSC : 1 ; Photo number : NA","Gebroulaz","36-100 yrs","30-120 yrs",NA
"21",4,"O104",14,36714428,12117901,"Band : 2","8/27/2020",1014846.61,6552607.5,7.06997,46.00016,"Glacier d'Orny",NA,"5-10% (7%)",NA,NA,NA,NA,">75% (95%)","10-25% (13%)","25-50% (31%)",NA,"25-50% (40%)","5-10% (8%)",NA,"Oxyria digyna (L.) Hill, 1768",111960,"Oxyria digyna (L.) Hill, 1768",111960,"Oxyria digyna","Oxyria digyna (L.) Hill, 1768","Polygonaceae","+","1",NA,NA,NA,NA,"0",NA,"ROCVEG : O104 ; Band : 2 ; Time : 15:28 ; Soil crust : 1 ; Moss : 1000 ; Cyanobact : 0 ; Lichen : 0 ; BSC : NA ; Photo number : NA","Orny","12-19 years","7-13 years",NA
"22",4,"P01",169,33521638,10400805,"Band : LIA","7/8/2019",1000689.4,6540557.22,6.8796167,45.8982,"Glacier des P<e9>lerins",2118,">75% (80%)",NA,NA,NA,NA,"10-25% (15%)","5-10% (7%)","5-10% (7%)",NA,"<5% (1%)",NA,NA,"Poa alpina L., 1753",114105,"Poa alpina L., 1753",114105,"Poa alpina","Poa alpina L., 1753","Poaceae","2","10",NA,NA,NA,NA,NA,NA,"ROCVEG : P01 ; Band : LIA ; Time : NA ; Soil crust : 5% ; Moss : 3% ; Cyanobact : NA ; Lichen : 2% ; BSC : 1cm ; Photo number : NA","Pelerins","LIA - Control","LIA - Control",NA
"23",4,"S1-01",13,24793223,8659402,"Band : 1","7/21/2020",948722.89,6457400.15,6.16692,45.17101,"Glacier de Saint-Sorlin",2707,"<5% (2%)",NA,NA,NA,NA,">75% (98%)","10-25% (19%)","50-75% (50%)",NA,"25-50% (29%)","10-25% (10%)",NA,"Sagina saginoides (L.) H.Karst., 1882",119827,"Sagina saginoides (L.) H.Karst., 1882",119827,"Sagina saginoides","Sagina saginoides (L.) H.Karst., 1882","Caryophyllaceae","+","2",NA,NA,NA,NA,"1",NA,"ROCVEG : S1-01 ; Band : 1 ; Time : 14:18 ; Soil crust : + ; Moss : + ; Cyanobact : NA ; Lichen : NA ; BSC : NA ; Photo number : NA","Saint Sorlin","12-19 years","7-13 years",NA
"24",4,"T03",174,33524144,10401733,"Band : LIA","7/11/2019",1005752.63,6552175.17,6.9523333,46.00043,"Glacier du Tour",1502,">75% (90%)",NA,NA,NA,NA,"10-25% (10%)","10-25% (10%)",NA,NA,NA,NA,NA,"Adenostyles alliariae (Gouan) A.Kern., 1871",80183,"Adenostyles alliariae (Gouan) A.Kern., 1871",80183,"Adenostyles alliariae","Adenostyles alliariae (Gouan) A.Kern., 1871","Asteraceae","4","35",NA,NA,NA,NA,NA,NA,"ROCVEG : T03 ; Band : LIA ; Time : NA ; Soil crust : 0% ; Moss : 0% ; Cyanobact : 0% ; Lichen : 0% ; BSC : NA ; Photo number : NA","Tour","LIA - Control","LIA - Control",NA
"25",5,"B1_04",6.5,34900909,10971337,"Band : B1","7/19/2019",968555.39,6432149.38,6.405282492,44.93642267,"Glacier Blanc",2527,NA,"<5% (0%)","<5% (0%)","25-50% (31%)","<5% (0%)",NA,"25-50% (25%)","10-25% (20%)",NA,"10-25% (14%)","5-10% (3%)","<5% (0%)","Epilobium anagallidifolium",96134,"Epilobium anagallidifolium Lam., 1786",96134,"Epilobium anagallidifolium","Epilobium anagallidifolium Lam., 1786","Onagraceae","0,166666667",NA,NA,NA,NA,NA,NA,NA,"Mousses BSC : 0 ; Lichens BSC : 0 ; Eau : 0 ; Dalle : 7 ; Blocs : 25 ; Cailloux : 20 ; Graviers : 14 ; Sable : 3 ; Liti<e8>re : 0 ; Mousses humides : 0 ; Herbac<e9>es : 31 ; Ligneux tr<e8>s bas : 0 ; Ligneux bas : 0 ; D<e9>glaciation : 2012 ; Age : 7","Glacier Blanc","0-7 yrs","0-7 yrs",NA
"26",5,"GB-01",58.5,24802839,8661042,"Band : B","8/10/2020",983706.88,6474710.88,6.62188,45.3132,"Glacier de G<e9>broulaz",2585,"50-75% (60%)",NA,NA,NA,NA,"25-50% (38%)","25-50% (27%)","10-25% (10%)",NA,"<5% (1%)","<5% (0%)",NA,"Agrostis rupestris All., 1785",80729,"Agrostis rupestris All., 1785",613160,"Agrostis rupestris var. rupestris","Agrostis rupestris var. rupestris All., 1785","Poaceae","1","5",NA,NA,NA,NA,"0",NA,"ROCVEG : GB-01 ; Band : B ; Time : 11:43 ; Soil crust : 2 ; Moss : 50 ; Cyanobact : 50 ; Lichen : 0 ; BSC : 1 ; Photo number : NA","Gebroulaz","36-100 yrs","30-120 yrs",NA
"27",5,"O104",14,36714427,12117901,"Band : 2","8/27/2020",1014846.61,6552607.5,7.06997,46.00016,"Glacier d'Orny",NA,"5-10% (7%)",NA,NA,NA,NA,">75% (95%)","10-25% (13%)","25-50% (31%)",NA,"25-50% (40%)","5-10% (8%)",NA,"Sagina saginoides subsp. saginoides (L.) H.Karst., 1882",140428,"Sagina saginoides subsp. saginoides (L.) H.Karst., 1882",119827,"Sagina saginoides","Sagina saginoides (L.) H.Karst., 1882","Caryophyllaceae","+","2",NA,NA,NA,NA,"1",NA,"ROCVEG : O104 ; Band : 2 ; Time : 15:28 ; Soil crust : 1 ; Moss : 1000 ; Cyanobact : 0 ; Lichen : 0 ; BSC : NA ; Photo number : NA","Orny","12-19 years","7-13 years",NA
"28",5,"P01",169,33521635,10400805,"Band : LIA","7/8/2019",1000689.4,6540557.22,6.8796167,45.8982,"Glacier des P<e9>lerins",2118,">75% (80%)",NA,NA,NA,NA,"10-25% (15%)","5-10% (7%)","5-10% (7%)",NA,"<5% (1%)",NA,NA,"Achillea erba-rotta subsp. moschata (Wulfen) Vacc., 1909",130729,"Achillea erba-rotta subsp. moschata (Wulfen) Vacc., 1909",130729,"Achillea erba-rotta subsp. moschata","Achillea erba-rotta subsp. moschata (Wulfen) Vacc., 1909","Asteraceae","5","5",NA,NA,NA,NA,NA,NA,"ROCVEG : P01 ; Band : LIA ; Time : NA ; Soil crust : 5% ; Moss : 3% ; Cyanobact : NA ; Lichen : 2% ; BSC : 1cm ; Photo number : NA","Pelerins","LIA - Control","LIA - Control",NA
"29",5,"S1-01",13,24793225,8659402,"Band : 1","7/21/2020",948722.89,6457400.15,6.16692,45.17101,"Glacier de Saint-Sorlin",2707,"<5% (2%)",NA,NA,NA,NA,">75% (98%)","10-25% (19%)","50-75% (50%)",NA,"25-50% (29%)","10-25% (10%)",NA,"Sedum atratum L., 1763",122124,"Sedum atratum L., 1763",122124,"Sedum atratum","Sedum atratum L., 1763","Crassulaceae","+","2",NA,NA,NA,NA,"1",NA,"ROCVEG : S1-01 ; Band : 1 ; Time : 14:18 ; Soil crust : + ; Moss : + ; Cyanobact : NA ; Lichen : NA ; BSC : NA ; Photo number : NA","Saint Sorlin","12-19 years","7-13 years",NA
"30",5,"T03",174,33524147,10401733,"Band : LIA","7/11/2019",1005752.63,6552175.17,6.9523333,46.00043,"Glacier du Tour",1502,">75% (90%)",NA,NA,NA,NA,"10-25% (10%)","10-25% (10%)",NA,NA,NA,NA,NA,"Arctostaphylos uva-ursi (L.) Spreng., 1825",83528,"Arctostaphylos uva-ursi (L.) Spreng., 1825",83528,"Arctostaphylos uva-ursi","Arctostaphylos uva-ursi (L.) Spreng., 1825","Ericaceae","3","10",NA,NA,NA,NA,NA,NA,"ROCVEG : T03 ; Band : LIA ; Time : NA ; Soil crust : 0% ; Moss : 0% ; Cyanobact : 0% ; Lichen : 0% ; BSC : NA ; Photo number : NA","Tour","LIA - Control","LIA - Control",NA
"31",6,"B1_04",6.5,34900910,10971337,"Band : B1","7/19/2019",968555.39,6432149.38,6.405282492,44.93642267,"Glacier Blanc",2527,NA,"<5% (0%)","<5% (0%)","25-50% (31%)","<5% (0%)",NA,"25-50% (25%)","10-25% (20%)",NA,"10-25% (14%)","5-10% (3%)","<5% (0%)","Epilobium dodonaei subsp. fleischeri",134114,"Epilobium dodonaei subsp. fleischeri (Hochst.) Schinz & Thell., 1923",134114,"Epilobium dodonaei subsp. fleischeri","Epilobium dodonaei subsp. fleischeri (Hochst.) Schinz & Thell., 1923","Onagraceae","1",NA,NA,NA,NA,NA,NA,NA,"Mousses BSC : 0 ; Lichens BSC : 0 ; Eau : 0 ; Dalle : 7 ; Blocs : 25 ; Cailloux : 20 ; Graviers : 14 ; Sable : 3 ; Liti<e8>re : 0 ; Mousses humides : 0 ; Herbac<e9>es : 31 ; Ligneux tr<e8>s bas : 0 ; Ligneux bas : 0 ; D<e9>glaciation : 2012 ; Age : 7","Glacier Blanc","0-7 yrs","0-7 yrs",NA
"32",6,"GB-01",58.5,24802830,8661042,"Band : B","8/10/2020",983706.88,6474710.88,6.62188,45.3132,"Glacier de G<e9>broulaz",2585,"50-75% (60%)",NA,NA,NA,NA,"25-50% (38%)","25-50% (27%)","10-25% (10%)",NA,"<5% (1%)","<5% (0%)",NA,"Leucanthemopsis alpina (L.) Heywood, 1975",105765,"Leucanthemopsis alpina (L.) Heywood, 1975",159722,"Leucanthemopsis alpina subsp. alpina","Leucanthemopsis alpina subsp. alpina (L.) Heywood, 1975","Asteraceae","+","2",NA,NA,NA,NA,"1",NA,"ROCVEG : GB-01 ; Band : B ; Time : 11:43 ; Soil crust : 2 ; Moss : 50 ; Cyanobact : 50 ; Lichen : 0 ; BSC : 1 ; Photo number : NA","Gebroulaz","36-100 yrs","30-120 yrs",NA
"33",6,"O104",14,36714426,12117901,"Band : 2","8/27/2020",1014846.61,6552607.5,7.06997,46.00016,"Glacier d'Orny",NA,"5-10% (7%)",NA,NA,NA,NA,">75% (95%)","10-25% (13%)","25-50% (31%)",NA,"25-50% (40%)","5-10% (8%)",NA,"Leucanthemopsis alpina (L.) Heywood, 1975",105765,"Leucanthemopsis alpina (L.) Heywood, 1975",105765,"Leucanthemopsis alpina","Leucanthemopsis alpina (L.) Heywood, 1975","Asteraceae","+","2",NA,NA,NA,NA,"1",NA,"ROCVEG : O104 ; Band : 2 ; Time : 15:28 ; Soil crust : 1 ; Moss : 1000 ; Cyanobact : 0 ; Lichen : 0 ; BSC : NA ; Photo number : NA","Orny","12-19 years","7-13 years",NA
"34",6,"P01",169,33521634,10400805,"Band : LIA","7/8/2019",1000689.4,6540557.22,6.8796167,45.8982,"Glacier des P<e9>lerins",2118,">75% (80%)",NA,NA,NA,NA,"10-25% (15%)","5-10% (7%)","5-10% (7%)",NA,"<5% (1%)",NA,NA,"Luzula lutea (All.) DC., 1805",106838,"Luzula lutea (All.) DC., 1805",106838,"Luzula lutea","Luzula lutea (All.) DC., 1805","Juncaceae","2","15",NA,NA,NA,NA,NA,NA,"ROCVEG : P01 ; Band : LIA ; Time : NA ; Soil crust : 5% ; Moss : 3% ; Cyanobact : NA ; Lichen : 2% ; BSC : 1cm ; Photo number : NA","Pelerins","LIA - Control","LIA - Control",NA
