cdref7,CD_REF7,libcdref7,STRATEGIES_CSR,comment,SA_CSR,JVE_CSR
81570,81570,"Alnus incana (L.) Moench, 1794",ccs,,ccs,ccs
81648,81648,"Alopecurus myosuroides Huds., 1762",rrr,,rrr,rrr
81656,81656,"Alopecurus pratensis L., 1753",ccs,,ccs,ccs
81875,81875,"Alyssoides utriculata (L.) Medik., 1789",css,,css,css
81876,81876,"Alyssum alpestre L., 1767",css,,css,css
81878,81878,"Alyssum alyssoides (L.) L., 1759",rrs,,rrs,rrs
81923,81923,"Alyssum montanum L., 1753",css,,css,css
81944,81944,"Alyssum simplex Rudolphi, 1799",css,,css,css
82103,82103,"Amelanchier ovalis Medik., 1793",ccs,,ccs,ccs
131307,131307,"Amelanchier ovalis subsp. embergeri Favarger & Stearn, 1983",ccs,,ccs,ccs
82285,82285,"Anacamptis morio (L.) R.M.Bateman, Pridgeon & M.W.Chase, 1997",,,crs,
82285,82285,"Anacamptis morio (L.) R.M.Bateman, Pridgeon & M.W.Chase, 1997",,,crs,
82288,82288,"Anacamptis pyramidalis (L.) Rich., 1817",,,crs,
82439,82439,"Andropogon distachyos L., 1753",crs,,crs,crs
131360,131360,Androsace adfinis Biroli subsp. adfinis,css,,css,css
82476,82476,"Androsace adfinis Biroli, 1820",,,css,
131361,131361,"Androsace adfinis subsp. brigantiaca (Jord. & Fourr.) Kress, 1981",css,,css,css
131362,131362,"Androsace adfinis subsp. puberula (Jord. & Fourr.) Kress, 1981",,,css,
131362,131362,"Androsace adfinis subsp. puberula (Jord. & Fourr.) Kress, 1981",css,,css,css
82504,82504,"Androsace helvetica (L.) All., 1785",css,,css,css
82516,82516,"Androsace maxima L., 1753",rrr,,rrr,rrr
82529,82529,"Androsace pubescens DC., 1805",rss,,rss,rss
82542,82542,"Androsace vandellii (Turra) Chiov., 1919",css,,css,css
82545,82545,"Androsace vitaliana (L.) Lapeyr., 1813",css,,css,css
82545,82545,"Androsace vitaliana (L.) Lapeyr., 1813",css,,css,css
82545,82545,"Androsace vitaliana (L.) Lapeyr., 1813",,,css,
82562,82562,"Andryala integrifolia L., 1753",rrs,,rrs,rrs
82600,82600,"Anemone baldensis L., 1767",crs,,crs,crs
608022,608022,"Anemone narcissiflora L., 1753",crs,,crs,crs
6251,6251,Aneura pinguis (L.) Dumort.,,,,
82738,82738,"Angelica sylvestris L., 1753",ccs,,ccs,ccs
5184,5184,Anomodon viticulosus (Hedw.) Hook. & Taylor,,,,
82796,82796,"Antennaria dioica (L.) Gaertn., 1791",crs,,crs,crs
82835,82835,"Anthemis cretica L., 1753",,,crs,
82903,82903,"Anthericum liliago L., 1753",crs,,crs,crs
82922,82922,"Anthoxanthum odoratum L., 1753",,,crs,
82931,82931,"Anthriscus caucalis M.Bieb., 1808",crr,,crr,crr
131460,131460,Anthriscus sylvestris (L.) Hoffm. subsp. sylvestris,ccs,,ccs,ccs
131460,131460,Anthriscus sylvestris (L.) Hoffm. subsp. sylvestris,,,ccs,
131456,131456,"Anthriscus sylvestris subsp. alpina (Vill.) Gremli, 1874",css,,css,css
82985,82985,"Anthyllis montana L., 1753",crs,,crs,crs
82999,82999,"Anthyllis vulneraria L., 1753",,,crs,
82999,82999,"Anthyllis vulneraria L., 1753",crs,,crs,crs
82999,82999,"Anthyllis vulneraria L., 1753",crs,,crs,crs
82999,82999,"Anthyllis vulneraria L., 1753",,,crs,
82999,82999,"Anthyllis vulneraria L., 1753",,,crs,
82999,82999,"Anthyllis vulneraria L., 1753",,,crs,
131467,131467,"Anthyllis vulneraria subsp. alpestris (Kit.) Asch. & Graebn., 1908",crs,,crs,crs
131467,131467,"Anthyllis vulneraria subsp. alpestris (Kit.) Asch. & Graebn., 1908",,,crs,
131467,131467,"Anthyllis vulneraria subsp. alpestris (Kit.) Asch. & Graebn., 1908",crs,,crs,crs
131475,131475,"Anthyllis vulneraria subsp. forondae (Sennen) Cullen, 1968",,,crs,
131494,131494,"Anthyllis vulneraria subsp. vulnerarioides (All.) Arcang., 1894",crs,,crs,crs
131499,131499,Antirrhinum majus L. subsp. majus,crs,,crs,crs
131499,131499,Antirrhinum majus L. subsp. majus,,,crs,
83171,83171,"Aphyllanthes monspeliensis L., 1753",crs,,crs,crs
83240,83240,"Aquilegia alpina L., 1753",crs,,crs,crs
83243,83243,"Aquilegia atrata W.D.J.Koch, 1830",crs,,crs,crs
83246,83246,"Aquilegia bertolonii Schott, 1853",rss,,rss,rss
83267,83267,"Aquilegia vulgaris L., 1753",crs,,crs,crs
83272,83272,"Arabidopsis thaliana (L.) Heynh., 1842",rrr,,rrr,rrr
83276,83276,"Arabis allionii DC., 1805",crs,,crs,crs
83279,83279,"Arabis alpina L., 1753",crs,,crs,crs
83285,83285,"Arabis auriculata Lam., 1783",rrs,,rrs,rrs
83296,83296,"Arabis caerulea (All.) Haenke, 1789",rss,,rss,rss
83303,83303,"Arabis ciliata Clairv., 1811",crs,,crs,crs
83306,83306,"Arabis collina Ten., 1815",rrs,,rrs,rrs
83332,83332,"Arabis hirsuta (L.) Scop., 1772",crs,,crs,crs
83359,83359,"Arabis nova Vill., 1779",rrs,,rrs,rrs
83375,83375,"Arabis planisiliqua (Pers.) Rchb., 1838",rrs,,rrs,rrs
83398,83398,"Arabis sagittata (Bertol.) DC., 1815",rrs,,rrs,rrs
131560,131560,"Arabis soyeri subsp. subcoriacea (Gren.) Breistr., 1947",css,,css,css
131560,131560,"Arabis soyeri subsp. subcoriacea (Gren.) Breistr., 1947",,,css,
131560,131560,"Arabis soyeri subsp. subcoriacea (Gren.) Breistr., 1947",,,css,
83481,83481,"Arbutus unedo L., 1753",ccc,,ccc,ccc
83502,83502,"Arctium minus (Hill) Bernh., 1800",ccr,,ccr,ccr
83528,83528,"Arctostaphylos uva-ursi (L.) Spreng., 1825",,,css,
83528,83528,"Arctostaphylos uva-ursi (L.) Spreng., 1825",ccs,,ccs,ccs
83584,83584,"Arenaria grandiflora L., 1759",crs,,crs,crs
83653,83653,"Arenaria serpyllifolia L., 1753",rrs,,rrs,rrs
83791,83791,"Aristolochia pistolochia L., 1763",ccs,,ccs,ccs
83808,83808,"Armeria alpina Willd., 1809",css,,css,css
83809,83809,"Armeria arenaria (Pers.) Schult., 1820",,,crs,
131643,131643,"Armeria arenaria subsp. bupleuroides (Godr. & Gren.) Greuter & Burdet, 1989",,,crs,
83874,83874,"Arnica montana L., 1753",crs,,crs,crs
131693,131693,Arrhenatherum elatius (L.) P.Beauv. ex J. & C.Presl subsp. elatius,,,ccr,
131693,131693,Arrhenatherum elatius (L.) P.Beauv. ex J. & C.Presl subsp. elatius,ccr,,ccr,ccr
131695,131695,"Arrhenatherum elatius subsp. sardoum (Em.Schmid) Gamisans, 1974",,,ccr,
83933,83933,"Artemisia absinthium L., 1753",crs,,crs,crs
83934,83934,"Artemisia alba Turra, 1764",crr,,crr,crr
131713,131713,Artemisia campestris L. subsp. campestris,crs,,crs,crs
131713,131713,Artemisia campestris L. subsp. campestris,,,crs,
83958,83958,"Artemisia chamaemelifolia Vill., 1779",ccs,,ccs,ccs
83973,83973,"Artemisia genipi Weber, 1775",rss,,rss,rss
83974,83974,"Artemisia glacialis L., 1763",css,,css,css
131739,131739,Artemisia umbelliformis Lam. subsp. umbelliformis,,,rss,
131739,131739,Artemisia umbelliformis Lam. subsp. umbelliformis,rss,,rss,rss
84061,84061,"Artemisia vulgaris L., 1753",crs,,crs,crs
84135,84135,"Aruncus dioicus (Walter) Fernald, 1939",ccs,,ccs,ccs
84173,84173,"Arundo donax L., 1753",ccr,,ccr,ccr
84264,84264,"Asparagus acutifolius L., 1753",ccs,,ccs,ccs
84290,84290,"Asperugo procumbens L., 1753",crs,,crs,crs
84296,84296,"Asperula aristata L.f., 1782",css,,css,css
131761,131761,"Asperula aristata subsp. longiflora (Waldst. & Kit.) Hayek, 1924",,,css,
84306,84306,"Asperula cynanchica L., 1753",css,,css,css
84306,84306,"Asperula cynanchica L., 1753",,,css,
84310,84310,"Asperula hexaphylla All., 1785",css,,css,css
84319,84319,"Asperula purpurea (L.) Ehrend., 1973",crs,,crs,crs
131779,131779,"Asphodelus albus subsp. delphinensis (Gren. & Godr.) Z.Diaz & Valdés, 1996",ccs,,ccs,ccs
84458,84458,"Asplenium adiantum-nigrum L., 1753",crs,,crs,crs
84472,84472,"Asplenium ceterach L., 1753",rss,,rss,rss
84485,84485,"Asplenium fontanum (L.) Bernh., 1799",rss,,rss,rss
84521,84521,"Asplenium ruta-muraria L., 1753",,,rss,
84524,84524,"Asplenium scolopendrium L., 1753",css,,css,css
84526,84526,"Asplenium septentrionale (L.) Hoffm., 1795",rss,,rss,rss
131863,131863,Asplenium trichomanes L. subsp. trichomanes,rrs,,rrs,rrs
84534,84534,"Asplenium trichomanes L., 1753",,,rrs,
131866,131866,"Asplenium x alternifolium subsp. heufleri (Reichardt) Aizpuru, Catalán & Salvo, 1985",,,rrs,
84622,84622,"Aster alpinus L., 1753",crs,,crs,crs
84626,84626,"Aster amellus L., 1753",crs,,crs,crs
84792,84792,"Astragalus alpinus L., 1753",ccs,,ccs,ccs
84800,84800,"Astragalus australis (L.) Lam., 1779",ccs,,ccs,ccs
84800,84800,"Astragalus australis (L.) Lam., 1779",,,ccs,
84828,84828,"Astragalus danicus Retz., 1783",css,,css,css
84831,84831,"Astragalus depressus L., 1756",ccs,,ccs,ccs
84843,84843,"Astragalus glycyphyllos L., 1753",ccs,,ccs,ccs
84852,84852,"Astragalus hypoglottis L., 1771",css,,css,css
84853,84853,"Astragalus incanus L., 1759",ccs,,ccs,ccs
84869,84869,"Astragalus monspessulanus L., 1753",crs,,crs,crs
84876,84876,"Astragalus onobrychis L., 1753",crs,,crs,crs
84882,84882,"Astragalus penduliflorus Lam., 1779",ccs,,ccs,ccs
131928,131928,Astragalus sempervirens Lam. subsp. sempervirens,,,ccs,
84897,84897,"Astragalus sempervirens Lam., 1783",ccs,,ccs,ccs
84936,84936,"Astrantia major L., 1753",ccs,,ccs,ccs
131932,131932,"Astrantia major subsp. involucrata (W.D.J.Koch) Ces., 1844",,,ccs,
84937,84937,"Astrantia minor L., 1753",ccs,,ccs,ccs
84962,84962,"Athamanta cretensis L., 1753",css,,css,css
84998,84998,"Athyrium distentifolium Tausch ex Opiz, 1820",ccs,,ccs,ccs
84999,84999,"Athyrium filix-femina (L.) Roth, 1799",ccs,,ccs,ccs
3853,3853,Atrichum undulatum (Hedw.) P.Beauv.,,,,
85152,85152,"Atropa belladonna L., 1753",crs,,crs,crs
4958,4958,Aulacomnium palustre (Hedw.) Schwägr.,,,,
85439,85439,"Avenula pubescens (Huds.) Dumort., 1868",css,,css,css
132052,132052,"Avenula pubescens subsp. laevigata (Schur) Holub, 1976",,,ccs,
85531,85531,"Barbarea bracteosa Guss., 1828",crr,,crr,crr
85536,85536,"Barbarea intermedia Boreau, 1840",crr,,crr,crr
6319,6319,Barbilophozia lycopodioides (Wallr.) Loeske,,,,
85602,85602,"Bartsia alpina L., 1753",rss,,rss,rss
85705,85705,"Bellardiochloa variegata (Lam.) Kerguélen, 1983",css,,css,css
85740,85740,"Bellis perennis L., 1753",crs,,crs,crs
85774,85774,"Berberis vulgaris L., 1753",ccs,,ccs,ccs
85903,85903,"Betula pendula Roth, 1788",ccs,,ccs,ccs
85997,85997,"Bifora radians M.Bieb., 1819",crr,,crr,crr
86021,86021,"Biscutella brevicaulis Jord., 1864",crs,,crs,crs
86025,86025,"Biscutella cichoriifolia Loisel., 1810",,,rrs,
86025,86025,"Biscutella cichoriifolia Loisel., 1810",rrs,,rrs,rrs
132153,132153,Biscutella laevigata L. subsp. laevigata,,,crs,
86045,86045,"Biscutella laevigata L., 1771",crs,,crs,crs
86083,86083,"Bituminaria bituminosa (L.) C.H.Stirt., 1981",ccs,,ccs,ccs
132169,132169,Blackstonia perfoliata (L.) Huds. subsp. perfoliata,rrr,,rrr,rrr
132169,132169,Blackstonia perfoliata (L.) Huds. subsp. perfoliata,,,rrr,
6645,6645,Blepharostoma trichophyllum (L.) Dumort.,,,,
86124,86124,"Blysmus compressus (L.) Panz. ex Link, 1827",crs,,crs,crs
86136,86136,"Bombycilaena erecta (L.) Smoljan., 1955",rrr,,rrr,rrr
86183,86183,"Botrychium lunaria (L.) Sw., 1802",crs,,crs,crs
86262,86262,"Brachypodium distachyon (L.) P.Beauv., 1812",crs,,crs,crs
86289,86289,"Brachypodium pinnatum (L.) P.Beauv., 1812",ccs,,ccs,ccs
86301,86301,"Brachypodium rupestre (Host) Roem. & Schult., 1817",ccs,,ccs,ccs
434466,434466,Brachytheciastrum velutinum (Hedw.) Ignatov & Huttunen,,,,
5826,5826,Brachythecium rutabulum (Hedw.) Schimp.,,,,
132221,132221,Brassica repanda (Willd.) DC. subsp. repanda,,,crs,
132221,132221,Brassica repanda (Willd.) DC. subsp. repanda,crs,,crs,crs
86490,86490,"Briza media L., 1753",crs,,crs,crs
86490,86490,"Briza media L., 1753",,,crs,
86492,86492,"Briza minor L., 1753",rrr,,rrr,rrr
86571,86571,"Bromus commutatus Schrad., 1806",crr,,crr,crr
132258,132258,Bromus hordeaceus L. subsp. hordeaceus,crr,,crr,crr
132258,132258,Bromus hordeaceus L. subsp. hordeaceus,,,crr,
86761,86761,"Bromus squarrosus L., 1753",crr,,crr,crr
5715,5715,Bryum argenteum Hedw.,,,,
5760,5760,Bryum pseudotriquetrum (Hedw.) P.Gaertn. et al.,,,,
5768,5768,Bryum schleicheri DC.,,,,
86879,86879,"Bufonia paniculata Dubois ex Delarbre, 1800",rrr,,rrr,rrr
612420,612420,Buglossoides arvensis subsp. arvensis,crr,,crr,crr
86975,86975,"Bunias orientalis L., 1753",ccr,,ccr,ccr
86983,86983,"Bunium bulbocastanum L., 1753",,,crs,
86983,86983,"Bunium bulbocastanum L., 1753",,,crs,
86983,86983,"Bunium bulbocastanum L., 1753",crs,,crs,crs
87009,87009,"Buphthalmum salicifolium L., 1753",crs,,crs,crs
87020,87020,"Bupleurum alpigenum Jord. & Fourr., 1866",crs,,crs,crs
87027,87027,"Bupleurum baldense Turra, 1764",rrr,,rrr,rrr
87044,87044,"Bupleurum falcatum L., 1753",,,crs,
132337,132337,"Bupleurum falcatum subsp. cernuum (Ten.) Arcang., 1894",crs,,crs,crs
87082,87082,"Bupleurum petraeum L., 1753",crs,,crs,crs
87085,87085,"Bupleurum praealtum L., 1756",rrr,,rrr,rrr
132356,132356,Bupleurum ranunculoides L. subsp. ranunculoides,,,crs,
132356,132356,Bupleurum ranunculoides L. subsp. ranunculoides,crs,,crs,crs
132357,132357,"Bupleurum ranunculoides subsp. telonense (Gren. ex Timb.-Lagr.) Bonnier, 1921",crs,,crs,crs
87095,87095,"Bupleurum rotundifolium L., 1753",rrr,,rrr,rrr
3885,3885,Buxbaumia viridis (Moug. ex Lam. & DC.) Brid. ex Moug. & Nestl.,,,,
87143,87143,"Buxus sempervirens L., 1753",ccs,,ccs,ccs
87212,87212,"Calamagrostis arundinacea (L.) Roth, 1788",ccc,,ccc,ccc
87227,87227,"Calamagrostis epigejos (L.) Roth, 1788",ccs,,ccs,ccs
87275,87275,"Calamagrostis pseudophragmites (Haller f.) Koeler, 1802",ccs,,ccs,ccs
132395,132395,Calamagrostis varia (Schrad.) Host subsp. varia,,,ccs,
132395,132395,Calamagrostis varia (Schrad.) Host subsp. varia,ccs,,ccs,ccs
87299,87299,"Calamagrostis villosa (Chaix) J.F.Gmel., 1791",ccs,,ccs,ccs
87453,87453,"Callianthemum coriandrifolium Rchb., 1832",css,,css,css
5476,5476,Calliergonella cuspidata (Hedw.) Loeske,,,,
87478,87478,"Callitriche palustris L., 1753",crs,,crs,crs
87501,87501,"Calluna vulgaris (L.) Hull, 1808",css,,css,css
87540,87540,"Caltha palustris L., 1753",crs,,crs,crs
87577,87577,"Camelina microcarpa Andrz. ex DC., 1821",rrr,,rrr,rrr
87577,87577,"Camelina microcarpa Andrz. ex DC., 1821",,,rrr,
87604,87604,"Campanula alpestris All., 1773",rss,,rss,rss
87607,87607,"Campanula barbata L., 1759",crs,,crs,crs
87618,87618,"Campanula cenisia L., 1763",css,,css,css
87622,87622,"Campanula cochleariifolia Lam., 1785",css,,css,css
132482,132482,Campanula glomerata L. subsp. glomerata,,,crs,
87652,87652,"Campanula glomerata L., 1753",crs,,crs,crs
87666,87666,"Campanula latifolia L., 1753",css,,css,css
87678,87678,"Campanula medium L., 1753",crr,,crr,crr
87690,87690,"Campanula patula L., 1753",crs,,crs,crs
87690,87690,"Campanula patula L., 1753",,,crs,
87693,87693,"Campanula persicifolia L., 1753",,,crs,
87693,87693,"Campanula persicifolia L., 1753",crs,,crs,crs
87711,87711,"Campanula rapunculoides L., 1753",crs,,crs,crs
87712,87712,"Campanula rapunculus L., 1753",crs,,crs,crs
87716,87716,"Campanula rhomboidalis L., 1753",ccr,,ccr,ccr
132515,132515,Campanula rotundifolia L. subsp. rotundifolia,crs,,crs,crs
132522,132522,Campanula scheuchzeri Vill. subsp. scheuchzeri,crs,,crs,crs
132522,132522,Campanula scheuchzeri Vill. subsp. scheuchzeri,,,crs,
87732,87732,"Campanula spicata L., 1753",crs,,crs,crs
87733,87733,"Campanula stenocodon Boiss. & Reut., 1856",css,,css,css
87742,87742,"Campanula trachelium L., 1753",ccs,,ccs,ccs
434377,434377,Campyliadelphus chrysophyllus (Brid.) R.S.Chopra,,,,
5494,5494,Campylium stellatum (Hedw.) Lange & C.E.O.Jensen,,,,
434469,434469,Campylophyllum calcareum (Crundw. & Nyholm) Hedenäs,,,,
434469,434469,Campylophyllum calcareum (Crundw. & Nyholm) Hedenäs,,,,
132541,132541,Capsella bursa-pastoris (L.) Medik. subsp. bursa-pastoris,rrr,,rrr,rrr
132549,132549,Cardamine amara L. subsp. amara,crs,,crs,crs
87897,87897,"Cardamine asarifolia L., 1753",crs,,crs,crs
87925,87925,"Cardamine heptaphylla (Vill.) O.E.Schulz, 1903",css,,css,css
87930,87930,"Cardamine hirsuta L., 1753",rrs,,rrs,rrs
87933,87933,"Cardamine impatiens L., 1753",crs,,crs,crs
87961,87961,"Cardamine pentaphyllos (L.) Crantz, 1769",css,,css,css
87970,87970,"Cardamine resedifolia L., 1753",rss,,rss,rss
88108,88108,"Carduus defloratus L., 1759",,crs,crs,
88108,88108,"Carduus defloratus L., 1759",,crs,crs,
132598,132598,Carduus litigiosus Nocca & Balb. subsp. litigiosus,,,crr,
88143,88143,"Carduus litigiosus Nocca & Balb., 1821",crr,,crr,crr
161034,161034,Carduus nigrescens Vill. subsp. nigrescens,crr,,crr,crr
132611,132611,Carduus nutans L. subsp. nutans,crr,,crr,crr
88167,88167,"Carduus nutans L., 1753",crr,,crr,crr
132606,132606,"Carduus nutans subsp. alpicola (Gillot) Chass. & Arènes, 1936",crr,,crr,crr
88178,88178,"Carduus personata (L.) Jacq., 1776",ccr,,ccr,ccr
88359,88359,"Carex atrata L., 1753",,,crs,
88380,88380,"Carex bicolor All., 1785",css,,css,css
88412,88412,"Carex capillaris L., 1753",css,,css,css
88415,88415,"Carex caryophyllea Latourr., 1785",css,,css,css
132672,132672,Carex curvula All. subsp. curvula,ccs,,ccs,ccs
88453,88453,"Carex curvula All., 1785",,,ccs,
132674,132674,"Carex curvula subsp. rosae Gilomen, 1937",css,,css,css
88459,88459,"Carex davalliana Sm., 1800",css,,css,css
88470,88470,"Carex digitata L., 1753",crs,,crs,crs
88476,88476,"Carex distachya Desf., 1799",css,,css,css
88489,88489,"Carex echinata Murray, 1770",css,,css,css
88491,88491,"Carex elata All., 1785",css,,css,css
88499,88499,"Carex ericetorum Pollich, 1777",crs,,crs,crs
88509,88509,"Carex firma Mygind ex Host, 1797",css,,css,css
88510,88510,"Carex flacca Schreb., 1771",css,,css,css
132704,132704,"Carex flacca subsp. claviformis (Hoppe) Schinz & Thell., 1909",css,,css,css
88511,88511,"Carex flava L., 1753",,,css,
88511,88511,"Carex flava L., 1753",,,css,
88511,88511,"Carex flava L., 1753",css,,css,css
88515,88515,"Carex foetida All., 1785",css,,css,css
88519,88519,"Carex frigida All., 1785",css,,css,css
132735,132735,Carex halleriana Asso subsp. halleriana,,,css,
132735,132735,Carex halleriana Asso subsp. halleriana,css,,css,css
88569,88569,"Carex hirta L., 1753",ccr,,ccr,ccr
88578,88578,"Carex hostiana DC., 1813",css,,css,css
88582,88582,"Carex humilis Leyss., 1758",css,,css,css
